ks_per_m,EFIO_override,eff_cat1,eff_cat2,eff_cat3,n_matched_boreholes,spearman_rho,kendall_tau,pearson_r_log,rmse_log
0.12,20000000.0,0.5,0.1,0.3,40,-0.10687440588340988,-0.09942262915792788,-0.0608796793264654,0.9904690236903771
0.12,50000000.0,0.5,0.1,0.3,40,-0.10687440588340988,-0.09942262915792788,-0.046356194747330604,1.1027411168899641
0.12,100000000.0,0.5,0.1,0.3,40,-0.10687440588340988,-0.09942262915792788,-0.039370304848520346,1.2333131177318937
0.2,20000000.0,0.5,0.1,0.3,40,-0.10038577059440391,-0.08895708924656706,-0.14190866064576038,1.0603006462664752
0.2,50000000.0,0.5,0.1,0.3,40,-0.10038577059440391,-0.08895708924656706,-0.11937726316819926,1.05514030611729
0.2,100000000.0,0.5,0.1,0.3,40,-0.10038577059440391,-0.08895708924656706,-0.1016720690553466,1.0791558574670634
0.3,20000000.0,0.5,0.1,0.3,40,-0.09295675337945505,-0.07849154933520622,-0.2012717923145199,1.1790793112573201
0.3,50000000.0,0.5,0.1,0.3,40,-0.09295675337945505,-0.07849154933520622,-0.18647957442090635,1.1480055589376208
0.3,100000000.0,0.5,0.1,0.3,40,-0.09295675337945505,-0.07849154933520622,-0.17608749048845906,1.1282350028469872
0.5,20000000.0,0.5,0.1,0.3,40,-0.0827065903866775,-0.060176854490324776,-0.2594081425379703,1.247235940869185
0.5,50000000.0,0.5,0.1,0.3,40,-0.0827065903866775,-0.060176854490324776,-0.2509111630081979,1.243040074923388
0.5,100000000.0,0.5,0.1,0.3,40,-0.0827065903866775,-0.060176854490324776,-0.24059318210059194,1.2380864679679284
0.75,20000000.0,0.5,0.1,0.3,40,-0.08759657640158056,-0.060176854490324776,-0.27043105307067555,1.251952114356707
0.75,50000000.0,0.5,0.1,0.3,40,-0.08759657640158056,-0.060176854490324776,-0.2702703758243244,1.2518128110985085
0.75,100000000.0,0.5,0.1,0.3,40,-0.08759657640158056,-0.060176854490324776,-0.270006008333628,1.2515930272773024
1.0,20000000.0,0.5,0.1,0.3,40,-0.09145214229794642,-0.06279323946816498,-0.27304044779589365,1.252046843269982
1.0,50000000.0,0.5,0.1,0.3,40,-0.09145214229794642,-0.06279323946816498,-0.2730382923717673,1.2520445813794907
1.0,100000000.0,0.5,0.1,0.3,40,-0.09145214229794642,-0.06279323946816498,-0.27303470087816883,1.2520408161267607
